id,kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,bps_kode_kecamatan,bps_nama_kecamatan,kemendagri_kode_kecamatan,kemendagri_nama_kecamatan,kategori_anak,jenis_kelamin,jumlah_anak,satuan,tahun
113,32,JAWA BARAT,3273,KOTA BANDUNG,3273230,COBLONG,32.73.02,COBLONG,ANAK YATIM PIATU,LAKI-LAKI,0,ORANG,2021
114,32,JAWA BARAT,3273,KOTA BANDUNG,3273230,COBLONG,32.73.02,COBLONG,ANAK YATIM PIATU,PEREMPUAN,1,ORANG,2021
115,32,JAWA BARAT,3273,KOTA BANDUNG,3273101,GEDEBAGE,32.73.27,GEDEBAGE,ANAK YATIM,PEREMPUAN,10,ORANG,2021
116,32,JAWA BARAT,3273,KOTA BANDUNG,3273101,GEDEBAGE,32.73.27,GEDEBAGE,ANAK YATIM,LAKI-LAKI,6,ORANG,2021
117,32,JAWA BARAT,3273,KOTA BANDUNG,3273101,GEDEBAGE,32.73.27,GEDEBAGE,ANAK PIATU,LAKI-LAKI,2,ORANG,2021
118,32,JAWA BARAT,3273,KOTA BANDUNG,3273101,GEDEBAGE,32.73.27,GEDEBAGE,ANAK PIATU,PEREMPUAN,2,ORANG,2021
119,32,JAWA BARAT,3273,KOTA BANDUNG,3273101,GEDEBAGE,32.73.27,GEDEBAGE,ANAK YATIM PIATU,LAKI-LAKI,0,ORANG,2021
120,32,JAWA BARAT,3273,KOTA BANDUNG,3273101,GEDEBAGE,32.73.27,GEDEBAGE,ANAK YATIM PIATU,PEREMPUAN,0,ORANG,2021
121,32,JAWA BARAT,3273,KOTA BANDUNG,3273150,KIARACONDONG,32.73.16,KIARACONDONG,ANAK YATIM,PEREMPUAN,8,ORANG,2021
122,32,JAWA BARAT,3273,KOTA BANDUNG,3273150,KIARACONDONG,32.73.16,KIARACONDONG,ANAK YATIM,LAKI-LAKI,8,ORANG,2021
123,32,JAWA BARAT,3273,KOTA BANDUNG,3273150,KIARACONDONG,32.73.16,KIARACONDONG,ANAK PIATU,LAKI-LAKI,5,ORANG,2021
124,32,JAWA BARAT,3273,KOTA BANDUNG,3273150,KIARACONDONG,32.73.16,KIARACONDONG,ANAK PIATU,PEREMPUAN,5,ORANG,2021
125,32,JAWA BARAT,3273,KOTA BANDUNG,3273150,KIARACONDONG,32.73.16,KIARACONDONG,ANAK YATIM PIATU,LAKI-LAKI,0,ORANG,2021
126,32,JAWA BARAT,3273,KOTA BANDUNG,3273150,KIARACONDONG,32.73.16,KIARACONDONG,ANAK YATIM PIATU,PEREMPUAN,0,ORANG,2021
127,32,JAWA BARAT,3273,KOTA BANDUNG,3273070,LENGKONG,32.73.13,LENGKONG,ANAK YATIM,PEREMPUAN,1,ORANG,2021
128,32,JAWA BARAT,3273,KOTA BANDUNG,3273070,LENGKONG,32.73.13,LENGKONG,ANAK YATIM,LAKI-LAKI,0,ORANG,2021
129,32,JAWA BARAT,3273,KOTA BANDUNG,3273070,LENGKONG,32.73.13,LENGKONG,ANAK PIATU,LAKI-LAKI,3,ORANG,2021
130,32,JAWA BARAT,3273,KOTA BANDUNG,3273070,LENGKONG,32.73.13,LENGKONG,ANAK PIATU,PEREMPUAN,2,ORANG,2021
131,32,JAWA BARAT,3273,KOTA BANDUNG,3273070,LENGKONG,32.73.13,LENGKONG,ANAK YATIM PIATU,LAKI-LAKI,0,ORANG,2021
132,32,JAWA BARAT,3273,KOTA BANDUNG,3273070,LENGKONG,32.73.13,LENGKONG,ANAK YATIM PIATU,PEREMPUAN,0,ORANG,2021
133,32,JAWA BARAT,3273,KOTA BANDUNG,3273142,MANDALAJATI,32.73.30,MANDALAJATI,ANAK YATIM,PEREMPUAN,2,ORANG,2021
134,32,JAWA BARAT,3273,KOTA BANDUNG,3273142,MANDALAJATI,32.73.30,MANDALAJATI,ANAK YATIM,LAKI-LAKI,7,ORANG,2021
135,32,JAWA BARAT,3273,KOTA BANDUNG,3273142,MANDALAJATI,32.73.30,MANDALAJATI,ANAK PIATU,LAKI-LAKI,3,ORANG,2021
136,32,JAWA BARAT,3273,KOTA BANDUNG,3273142,MANDALAJATI,32.73.30,MANDALAJATI,ANAK PIATU,PEREMPUAN,4,ORANG,2021
137,32,JAWA BARAT,3273,KOTA BANDUNG,3273142,MANDALAJATI,32.73.30,MANDALAJATI,ANAK YATIM PIATU,LAKI-LAKI,0,ORANG,2021
